ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BBRD4,RAPID,RUNNING,R03ABA302,2200,008YQAB090,AAB008YQ2039B,22-01-14 19:21,22-01-14 10:53,WINBOND,STDFN-08YQ2A,4320,01/25/2022 AP,1091A07T21,,R03ABA205,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 19:21:18
BBRD5,RAPID,IDLE,,,,ANV132X2C034A,,22-01-10 21:36,,,,01/26/2022 AP,,,R02NVAA29,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRD6,RAPID,IDLE,,,,AAB008YQ2039B,,22-01-14 11:31,,,,01/27/2022 AP,,,R03ABA104,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,
BBRD7,RAPID,WAIT-REPAIR,,,,AAB008Y62010A,,22-01-10 14:30,,,,01/28/2022 AP,,,P51ABBB01,DFN-08Y62D,WINBOND,AAB008Y62010A,1091A07T21,1188.6752,
BBRD8,RAPID,IDLE,,,,ANV132X2C034A,,22-01-11 01:09,,,,01/29/2022 AP,,,R02NVAB32,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRD9,RAPID,IDLE,,,,AHQ0442J3005A,,22-01-12 20:48,,,,01/30/2022 AP,,,R02HQAF161,FPSTLGA44YBV,EMC,AHQ0442J3005A,1091A06C41,328.6546,
BBRF1,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 23:41,,,,01/31/2022 AP,,,R02AWFT07,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBRF2,RAPID,IDLE,,,,ANV132X2C034A,,22-01-11 17:45,,,,,,,R02NVAE08,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRF3,RAPID,IDLE,,,,AAW008Y62014A,,22-01-13 08:59,,,,,,,R02AWHI23,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1343.9948,
BBRF4,RAPID,IDLE,,,,AAW008Y62014A,,22-01-13 06:55,,,,,,,R02AWHI31,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1343.9948,
BBRF5,RAPID,IDLE,,,,ANV132X2C034A,,22-01-11 10:42,,,,,,,R02NVAE06,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBS01,ICONN-PLUS,RUNNING,P52NVSW01,2200,0086ANV211,ANV0086A1078A,22-01-14 21:53,22-01-14 13:37,PHISON,uSD08AQV-C,1560,01/27/2022 MP,1091A06C41,,P52NVSG08,uSD08AQV-C,PHISON,ANV0086A1078A,1091A06C41,188.9702,2022-01-14 21:53:26
BBS02,ICONN-PLUS,RUNNING,P52NVSW02,2200,0086ANV211,ANV0086A1078A,22-01-14 21:55,22-01-14 13:40,PHISON,uSD08AQV-C,1560,01/28/2022 MP,1091A06C41,,P52NVSG19,uSD08AQV-C,PHISON,ANV0086A1078A,1091A06C41,188.9702,2022-01-14 21:55:50
BBS03,ICONN-PLUS,RUNNING,R02VGA503,2200,008YMVG003,ABU008YM2002A,22-01-14 19:00,22-01-14 06:23,ISSI-VG,DFN-08YM2D,16000,01/29/2022 MP,1091A08C41,,R02VGA501,DFN-08YM2D,ISSI-VG,ABU008YM2002A,1091A08C41,1267.5777,2022-01-14 19:00:50
BBS04,ICONN-PLUS,IDLE,,,,ANV0086A1078A,,22-01-08 16:15,,,,01/30/2022 MP,,,P52NVSG28,uSD08AQV-C,PHISON,ANV0086A1078A,1091A06C41,188.9702,
BBS05,ICONN-PLUS,IDLE,,,,ANV0086A1078A,,22-01-08 16:20,,,,01/31/2022 MP,,,P52NVSG29,uSD08AQV-C,PHISON,ANV0086A1078A,1091A06C41,188.9702,
