,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
626,626,AAW048TP1008B,AAW016D53004A,2406.988226,BBB16,"CWN,SC",R11AWA546,R10AWCI02,BBB16_4,2286.988226,2022-03-15 22:11:59,2022-03-16 00:11:59,7066.1900000000005,2022-03-15 22:11:59,2022-03-16 00:11:59
627,627,AAW016D53004A,AAW048TP1041B,4357.367904,BBB16,"CWN,SC",R10AWDU13,R10AWEF07,BBB16_6,4237.367904,2022-03-17 06:42:22,2022-03-17 08:42:22,7067.01,2022-03-17 06:42:22,2022-03-17 08:42:22
628,628,AAW048TP1041B,ASS153XT3001A,5917.757478,BBB16,"CWN,SC",R10AWE819,R10SSC120,BBB16_8,5797.757478,2022-03-18 08:42:45,2022-03-18 10:42:45,7065.3,2022-03-18 08:42:45,2022-03-18 10:42:45
629,629,ASS153XT3001A,AAW016D53004A,7028.164107,BBB16,"CWN,SC",R10SSC120,R10AWCJ06,BBB16_9,6908.164107,2022-03-19 03:13:09,2022-03-19 05:13:09,7066.1900000000005,2022-03-19 03:13:09,2022-03-19 05:13:09
630,630,AAW016D53019A,AYZ096EF2003A,120.0,BBB18,"CWN,SC",,R11YZA723,BBB18_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7066.0,2022-03-14 08:05:00,2022-03-14 10:05:00
631,631,AYZ096EF2003A,AAW016D53004A,4305.896685,BBB18,"CWN,SC",R11YZA914,R10AWCI09,BBB18_3,4185.896685,2022-03-17 05:50:53,2022-03-17 07:50:53,7066.1900000000005,2022-03-17 05:50:53,2022-03-17 07:50:53
632,632,AAW016D53004A,ACD084CC2002A,7232.923125,BBB18,"CWN,SC",R10AWCJ24,R11CDAC01,BBB18_6,7112.923125,2022-03-19 06:37:55,2022-03-19 08:37:55,7082.08,2022-03-19 06:37:55,2022-03-19 08:37:55
633,633,ACD084CC2002A,ABU096EF2001A,8494.310096,BBB18,"CWN,SC",R11CDAC01,R11BUB501,BBB18_7,8374.310096,2022-03-20 03:39:18,2022-03-20 05:39:18,7065.4800000000005,2022-03-20 03:39:18,2022-03-20 05:39:18
634,634,ABU096EF2001A,AMS078EN1001A,9859.638029,BBB18,"CWN,SC",R11BUB501,R11MSMA06,BBB18_8,9739.638029,2022-03-21 02:24:38,2022-03-21 04:24:38,7065.34,2022-03-21 02:24:38,2022-03-21 04:24:38
635,635,AAW016D53019A,AYZ096EF2003A,120.0,BBB19,"CWN,SC",,R11YZA907,BBB19_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,,2022-03-14 08:05:00,2022-03-14 10:05:00
636,636,AYZ096EF2003A,ABU096EF2001A,4422.346679,BBB19,MC,R11YZA716,R11BUAJ01,BBB19_3,4338.346679,2022-03-17 08:23:20,2022-03-17 09:47:20,7065.47,2022-03-17 08:23:20,2022-03-17 09:47:20
637,637,ABU096EF2001A,AAW016D53004A,5794.454527,BBB19,"CWN,SC",R11BUAJ01,R10AWCX24,BBB19_4,5674.454527,2022-03-18 06:39:27,2022-03-18 08:39:27,7066.21,2022-03-18 06:39:27,2022-03-18 08:39:27
638,638,AAW016D53004A,ABU096EF2001A,9160.564766,BBB19,"CWN,SC",R10AWCZ05,R11BUAL05,BBB19_7,9040.564766,2022-03-20 14:45:33,2022-03-20 16:45:33,7065.4800000000005,2022-03-20 14:45:33,2022-03-20 16:45:33
639,639,ABU096EF2001A,AAW048TP1008B,10873.360527,BBB19,"CWN,SC",R11BUB505,R11AWA533,BBB19_9,10753.360527,2022-03-21 19:18:21,2022-03-21 21:18:21,7065.99,2022-03-21 19:18:21,2022-03-21 21:18:21
640,640,AAW048TP1024D,AAB054TN1005A,99.0,BBB20,"CWN,SC",R11AWBS14,R10ABHN08,BBB20_1,-21.0,2022-03-14 07:44:00,2022-03-14 09:44:00,7065.1,2022-03-14 07:44:00,2022-03-14 09:44:00
641,641,AAB054TN1005A,AAW048TP1043B,3260.256723,BBB20,"CWN,SC",R10ABHN08,R11AWCD01,BBB20_2,3140.256723,2022-03-16 12:25:15,2022-03-16 14:25:15,,2022-03-16 12:25:15,2022-03-16 14:25:15
642,642,AAW048TP1043B,ACS054TS1009A,3802.090874,BBB20,"CWN,SC",R11AWCD01,R10CSFA02,BBB20_3,3682.090874,2022-03-16 21:27:05,2022-03-16 23:27:05,7079.63,2022-03-16 21:27:05,2022-03-16 23:27:05
643,643,ACS054TS1009A,AYZ084CC2003A,4252.132257,BBB20,"CWN,SC",R10CSFA02,R11YZA112,BBB20_4,4132.132257,2022-03-17 04:57:07,2022-03-17 06:57:07,7072.42,2022-03-17 04:57:07,2022-03-17 06:57:07
644,644,AYZ084CC2003A,AAB090NC7003A,5478.783532,BBB20,"CWN,SC",R11YZA112,R11ABD705,BBB20_5,5358.783532,2022-03-18 01:23:47,2022-03-18 03:23:47,7066.91,2022-03-18 01:23:47,2022-03-18 03:23:47
645,645,AAB090NC7003A,AAW024MA6022C,6435.807424,BBB20,"CWN,SC",R11ABD705,R11AWCR02,BBB20_6,6315.807424,2022-03-18 17:20:48,2022-03-18 19:20:48,,2022-03-18 17:20:48,2022-03-18 19:20:48
646,646,AAW024MA6022C,AAW024XJ6011B,7433.596028,BBB20,"CWN,SC",R11AWCR02,R11AWBX02,BBB20_7,7313.596028,2022-03-19 09:58:35,2022-03-19 11:58:35,,2022-03-19 09:58:35,2022-03-19 11:58:35
647,647,AAW024XJ6011B,AYZ096EF2003A,8483.094997,BBB20,"CWN,SC",R11AWBX02,R11YZA921,BBB20_8,8363.094997,2022-03-20 03:28:05,2022-03-20 05:28:05,,2022-03-20 03:28:05,2022-03-20 05:28:05
648,648,AYZ096EF2003A,AAW024XJ6011B,10202.766639,BBB20,"CWN,SC",R11YZA725,R11AWBV03,BBB20_10,10082.766639,2022-03-21 08:07:45,2022-03-21 10:07:45,7079.4400000000005,2022-03-21 08:07:45,2022-03-21 10:07:45
649,649,AAW024XJ6011B,AAB060EM2002A,13048.65146,BBB20,"CWN,SC",R11AWBV01,R11ABDT02,BBB20_13,12928.65146,2022-03-23 07:33:39,2022-03-23 09:33:39,7065.31,2022-03-23 07:33:39,2022-03-23 09:33:39
650,650,AAB060EM2002A,AAW048TP1008B,16658.270911,BBB20,"CWN,SC",R11ABAW10,R11AWA506,BBB20_15,16538.270911,2022-03-25 19:43:16,2022-03-25 21:43:16,7065.99,2022-03-25 19:43:16,2022-03-25 21:43:16
651,651,AAW048TP1008B,AAB063NW3008A,18345.06435,BBB20,"CWN,SC",R11AWA817,R11ABDZ02,BBB20_17,18225.06435,2022-03-26 23:50:03,2022-03-27 01:50:03,7065.4400000000005,2022-03-26 23:50:03,2022-03-27 01:50:03
652,652,AAB063NW3008A,ANV132X2C044A,19003.543339,BBB20,"CWN,SC",R11ABDZ02,R10NVKB11,BBB20_18,18883.543339,2022-03-27 10:48:32,2022-03-27 12:48:32,7065.150000000001,2022-03-27 10:48:32,2022-03-27 12:48:32
