ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB747,UTC2000,RUNNING,R02AWBL34,2200,048TPAW103,AAW048TP1008B,22-01-12 10:34,22-01-11 23:07,MXIC,TSOP1-48/M2,720,
BB748,UTC2000,RUNNING,R02AWBK31,2200,048TPAW086,AAW048TP1041B,22-01-12 11:34,22-01-12 01:02,MXIC,TSOP1-48/M2,720,
BB749,UTC2000,RUNNING,R02YZA213,2200,096EFYZ004,AYZ096EF2003A,22-01-12 15:00,22-01-11 22:09,ZJP,FBGA-96UEF,2460,
BB750,UTC2000,WAIT-SETUP,,,,AAB054NR2001A,,22-01-12 07:20,,,,
BB751,UTC2000,RUNNING,P53MSJ807,2200,078ENMS007,AMS078EN1002A,22-01-12 20:09,22-01-12 06:04,MTI,FBGA-78UEN,3540,
BB752,UTC2000,RUNNING,R02YZA419,2200,096EFYZ004,AYZ096EF2003A,22-01-12 23:02,22-01-12 05:54,ZJP,FBGA-96UEF,2500,01/12/2022 MP
BB753,UTC2000,IDLE,,,,AMS096EC3001B,,22-01-12 06:44,,,,01/13/2022 MP
BB754,UTC2000,RUNNING,R02YZA415,2200,096EFYZ004,AYZ096EF2003A,22-01-12 08:26,22-01-11 15:41,ZJP,FBGA-96UEF,2444,01/14/2022 MP
BB755,UTC2000,IDLE,,,,AVE054TS1001E,,22-01-09 03:04,,,,01/15/2022 MP
BB756,UTC2000,RUNNING,R02AWBP10,2200,048TPAW103,AAW048TP1008B,22-01-12 16:30,22-01-12 05:03,MXIC,TSOP1-48/M2,720,01/16/2022 MP
BB757,UTC2000,RUNNING,R02YZA201,2200,096EFYZ004,AYZ096EF2003A,22-01-12 12:48,22-01-11 20:08,ZJP,FBGA-96UEF,2432,01/17/2022 MP
BB758,UTC2000,WAIT-SETUP,,,,AAB054NR2001A,,22-01-12 07:18,,,,01/18/2022 MP
BB759,UTC2000,RUNNING,R02AWBK27,2200,048TPAW086,AAW048TP1041B,22-01-12 13:44,22-01-12 03:12,MXIC,TSOP1-48/M2,720,01/19/2022 MP
BB760,UTC2000,RUNNING,R02AWBN19,2200,048TPAW086,AAW048TP1041B,22-01-12 17:18,22-01-12 06:46,MXIC,TSOP1-48/M2,720,01/20/2022 MP
BB761,UTC2000,RUNNING,R02AWBL37,2200,048TPAW103,AAW048TP1008B,22-01-12 06:06,22-01-11 18:39,MXIC,TSOP1-48/M2,720,01/21/2022 SP
